customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,property_valuation,address_id
37,Laurie,Dwerryhouse,Female,1985-12-22,Social Worker,Health,High Net Worth,N,No,9,37
38,Cordi,Merman,Female,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,38
39,Hunfredo,Smalley,Male,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,8,39
40,Tomasine,Jerche,Female,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,2,40
41,Basilius,Coupe,Male,1976-04-14,Food Chemist,Health,Mass Customer,N,No,3,41
42,Chiquita,Durnall,Female,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,6,42
43,Indira,Belt,Female,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,4,43
44,Neron,Verick,Male,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,9,44
45,Trace,Woodhead,Male,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,9,45
46,Kaila,Allin,Female,1972-02-26,,,Affluent Customer,N,Yes,10,46
47,Matthew,Jeaycock,Male,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,5,47
48,Rebbecca,Casone,Female,1975-08-15,Biostatistician II,,Mass Customer,N,Yes,8,48
49,Nolly,Ownsworth,Male,1994-01-26,VP Quality Control,,Affluent Customer,N,No,3,49
50,Whitby,Schapero,Male,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,8,50
51,Fidelio,Dilke,Male,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,10,51
52,Curran,Bentson,Male,1988-06-22,,Financial Services,Mass Customer,N,Yes,10,52
53,Agnella,Gocke,Female,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,6,53
54,Loralyn,Wonfor,Femal,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,9,54
55,Linc,Jillions,Male,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,9,55
56,Reese,Ensor,Male,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,10,56
57,Abba,Masedon,M,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,7,57
58,Dalenna,Pinnock,Female,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,8,58
59,Niki,Heathcote,Male,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,No,9,59
60,Nadiya,Champerlen,Female,1970-02-04,,Manufacturing,Mass Customer,N,No,8,60
61,Kacey,Rowbottom,Female,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,10,61
62,Sorcha,Roggers,Female,1979-07-06,,IT,Mass Customer,N,Yes,10,62
63,Ebony,Zini,Female,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,10,63
64,Gerek,Yve,Male,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,7,64
65,Yale,Tanser,Male,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,7,65
66,Anselm,Gawne,Male,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,12,66
67,Vernon,,Male,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,10,67
68,Dahlia,Eddoes,Female,1974-04-21,Information Systems Manager,,Affluent Customer,N,No,6,68
69,Heidi,Milner,Female,1969-06-22,Web Developer II,,Mass Customer,N,No,8,69
70,Foster,Vannoort,Male,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8,70
71,Hoyt,Glavias,Male,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,8,71
72,Sammy,Cheese,Male,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,9,72
73,Minette,Worters,Female,1960-05-27,Teacher,,Affluent Customer,N,Yes,5,73
74,Pansy,Kiddie,Female,1969-06-19,,,Mass Customer,N,Yes,9,74
75,Dollie,Sealy,Female,1978-07-15,VP Product Management,Property,Mass Customer,N,No,10,75
76,Rea,Hasser,Female,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,1,76
77,Shermie,Andrin,Male,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,6,77
78,Arch,Van der Kruis,Male,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,78
79,Tybi,Silliman,Female,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,12,79
80,Pablo,Small,Male,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,11,80
81,Bee,Blazewicz,Female,1986-09-04,,Health,High Net Worth,N,No,11,81
82,Gleda,Cokely,Female,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,11,82
83,Kerr,Simmell,Male,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,12,83
84,Rich,Mathiasen,Male,1958-02-07,Accountant III,,Mass Customer,N,Yes,12,84
85,Kane,Tixall,Male,1958-05-21,Analyst Programmer,,Mass Customer,N,No,11,85
86,Job,Sleney,Male,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,10,86
87,Fields,Langdon,Male,1974-04-23,Editor,Financial Services,Mass Customer,N,No,9,87
88,Malynda,Tumber,Female,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,10,88
89,Benedicto,Hoxey,Male,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,10,89
90,Cary,Garron,Male,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,7,90
91,Dylan,Meaker,Male,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,10,91
92,Jodee,Judkins,Female,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,11,92
93,Gordon,Gowar,Male,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,8,93
94,Wallache,Simchenko,Male,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,10,94
95,Nomi,Mallinder,Female,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,9,95
96,Heath,Olford,Male,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,12,96
97,Arne,Corain,Male,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,97
98,Allianora,Babalola,Female,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,9,98
99,Reggie,Mulliner,Male,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,12,99
100,Tripp,Steed,Male,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,10,100
101,Goran,Kwietek,Male,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,10,101
102,Langsdon,Tranfield,Male,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,9,102
103,Ethyl,Runham,Female,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,12,103
104,Odille,Panketh,Female,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,8,104
105,Maribeth,Pristnor,Female,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,11,105
106,Glyn,,Male,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,8,106
107,Pris,Stallebrass,Female,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,12,107
108,Kayle,Mingaud,Female,1994-03-14,,,High Net Worth,N,No,11,108
109,Cody,Blabey,Male,1978-12-11,Marketing Assistant,,Affluent Customer,N,Yes,4,109
110,Sascha,St. Quintin,Male,2000-07-31,,Financial Services,Affluent Customer,N,No,9,110
111,Cele,Evason,Female,1993-08-29,Analyst Programmer,,Mass Customer,N,No,1,111
112,Shena,Parren,Female,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,8,112
113,Gage,Nickless,Male,1956-05-06,Staff Scientist,,Mass Customer,N,No,6,113
114,Sunny,Swindells,Female,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,10,114
115,Alberik,Mereweather,Male,1981-12-21,Account Executive,Health,Mass Customer,N,No,7,115
116,Scottie,Swiffen,Male,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,116
117,Nance,Suttling,Female,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,9,117
118,Prentice,Pearmain,Male,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,No,2,118
119,Willey,Chastanet,Male,1981-12-04,Associate Professor,,High Net Worth,N,Yes,8,119
120,Sloan,Wagg,Male,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,8,120
121,Myles,Pauncefort,Male,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,10,121
122,Colver,Itter,Male,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,4,122
123,Almeta,Kalinsky,Female,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,1,123
124,Kath,Cunney,Female,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5,124
125,Darrelle,Antoniewski,Female,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,9,125
126,Norman,Cliff,Male,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,7,126
127,Merrili,Whitear,Female,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,3,127
128,Isidro,Cypler,Male,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,8,128
129,Weidar,Silkstone,Male,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,1,129
130,Raddy,Delete,Male,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,11,130
131,Jana,Renyard,Female,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,6,131
132,Celesta,Willavoys,Female,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,3,132
133,Eldridge,Fiddeman,Male,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,10,133
134,Merna,McCulloch,Female,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,9,134
135,Rosalia,Sigart,Female,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,1,135
136,Mel,Bennet,Male,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,9,136
137,Vaughn,Artin,Male,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,11,137
138,Onofredo,Franc,Male,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,9,138
139,Gar,,Male,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,6,139
140,Morrie,Flaxon,Male,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,3,140
141,Townsend,Trobe,Male,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,5,141
142,Bentley,Fortesquieu,Male,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,11,142
143,Kendall,Figg,Male,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11,143
144,Jory,Barrabeale,U,,Environmental Tech,IT,Mass Customer,N,No,8,144
145,Filippo,Ferrara,Male,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,7,145
146,Ricoriki,Matlock,Male,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,7,146
147,Rea,Pattrick,Female,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,9,147
148,Jaquith,Maffey,Female,1981-05-08,Programmer Analyst III,,Mass Customer,N,Yes,12,148
149,Drucy,Kausche,Female,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,8,149
150,Bradly,Crosse,Male,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,8,150
151,Donnie,Brimson,Male,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,10,151
152,Stephana,Cardew,Female,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,11,152
153,Lorilyn,Walshe,Female,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,8,153
154,Faydra,Dulieu,Female,1958-02-13,Junior Executive,,Mass Customer,N,No,6,154
155,Orran,Bogges,Male,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10,155
156,Shayla,Rimmington,Female,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,156
157,Chad,Houtby,Male,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,10,157
158,Hamlin,Odams,Male,1984-09-03,Internal Auditor,,Affluent Customer,N,No,10,158
159,Arin,Matskevich,Male,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,10,159
160,Wake,Durning,Male,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,4,160
161,Tadd,Bloss,Male,1976-01-21,,,Mass Customer,N,No,10,161
162,Port,Acuna,Male,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,4,162
163,Kessia,Helder,Female,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,6,163
164,Aarika,Van Vuuren,Female,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,6,164
165,Aldon,Roelofs,Male,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,9,165
166,Elston,Oleszczak,Male,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,8,166
167,Nathalie,Tideswell,Female,1969-10-27,,Health,High Net Worth,N,Yes,11,167
168,Reggie,Broggetti,U,,General Manager,IT,Affluent Customer,N,Yes,4,168
169,Alfy,Bruhnke,Male,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,8,169
170,Jammal,Gever,Male,1975-06-02,Pharmacist,Health,High Net Worth,N,No,9,170
171,Halli,Davidoff,Female,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,11,171
172,Hilton,Carney,Male,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,8,172
173,Ebba,Hanselmann,Female,1997-01-02,General Manager,Health,Affluent Customer,N,No,5,173
174,Catie,Tosspell,Female,1989-11-26,Food Chemist,Health,Mass Customer,N,No,7,174
175,Templeton,Hambrook,Male,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,9,175
176,Angelo,Clayal,Male,1992-04-13,Accountant I,Property,Mass Customer,N,No,8,176
177,Ondrea,Pablos,Female,1989-11-09,Professor,Financial Services,High Net Worth,N,No,1,177
178,Matthieu,Bertelmot,Male,1967-04-03,,,Affluent Customer,N,No,4,178
179,Esteban,Sewill,Male,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,10,179
180,Trisha,Neasham,Female,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,1,180
181,Pavla,Braunle,Female,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,5,181
182,Lydon,Dahlman,Male,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,182
183,Dannie,Hissie,Female,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,10,183
184,Nappie,Paolo,Male,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,11,184
185,Crosby,Walcot,Male,1979-12-13,,Property,Mass Customer,N,Yes,4,185
186,Mireielle,Jeppe,Female,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,9,186
187,Pincas,Ather,Male,1954-01-28,Structural Engineer,,Mass Customer,N,No,7,187
188,Audry,Seine,Female,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,6,188
189,Umberto,Torricella,Male,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,7,189
190,Hayley,Girardengo,Female,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,5,190
191,Christopher,Heining,Male,1960-04-27,Help Desk Operator,,Affluent Customer,N,Yes,9,191
192,Goldi,Osler,Female,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8,192
193,Foss,Hardes,Male,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12,193
194,Ursala,Ferrai,Female,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,7,194
195,Talyah,Rylatt,Female,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,8,195
196,Swen,Odhams,Male,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,2,196
197,Avis,,Female,1977-01-27,,,High Net Worth,N,No,9,197
198,Vanya,Gumb,Female,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,5,198
199,Verla,Alven,Female,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,11,199
200,Hube,Weald,Male,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,10,200
201,Salem,Huie,Male,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,9,201
202,Audie,Pillinger,Female,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,9,202
203,Donovan,Conry,Male,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,8,203
204,Thorny,Hackworth,Male,1976-10-01,Editor,Financial Services,Mass Customer,N,No,7,204
205,Rolfe,Kellard,Male,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,11,205
206,Mari,Chevolleau,Female,1954-07-19,Statistician I,,Mass Customer,N,Yes,9,206
207,Adena,Whyman,Female,1994-08-10,,,Mass Customer,N,No,10,207
208,Rutter,Excell,Male,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,4,208
209,Udall,Bellard,Male,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,Yes,4,209
210,Albrecht,Thomasson,Male,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,9,210
211,Beitris,,Female,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,3,211
212,Nanice,Ellse,Female,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,10,212
213,Lockwood,Exroll,Male,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,11,213
214,Jeramie,Cellier,Male,1957-11-29,Food Chemist,Health,Mass Customer,N,No,8,214
215,Debera,Foxworthy,Female,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,8,215
216,Cinderella,Parcall,Female,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,8,216
217,Jeralee,Quartly,Female,1979-12-09,,Manufacturing,High Net Worth,N,No,8,217
218,Stefa,Dunnan,Female,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,11,218
219,Markus,Mughal,Male,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7,219
220,Jeniffer,Apark,Female,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,12,220
221,Mara,Bloore,Female,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,9,221
222,Nev,Larive,Male,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,7,222
223,Ossie,Meaton,Male,1983-11-26,VP Sales,,Affluent Customer,N,Yes,9,223
224,Morgun,Girvan,Male,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,7,224
225,Brittaney,Pring,Female,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,10,225
226,Bondie,Letty,Male,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,11,226
227,Wendall,McKeand,Male,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,10,227
228,Lucia,Pickervance,Female,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,9,228
229,Vaughn,Lambis,Male,1966-03-06,,Property,High Net Worth,N,No,10,229
230,Maegan,Scyone,Female,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,10,230
231,Basile,Winsor,Male,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,8,231
232,Zaria,Koeppke,Female,1987-11-11,Professor,Retail,Mass Customer,N,No,2,232
233,Art,Barwell,Male,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,11,233
234,Mead,Alpes,Female,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,8,234
235,Leona,Phateplace,Female,1976-12-26,Social Worker,Health,Mass Customer,N,No,3,235
236,Tybalt,Gillingwater,Male,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,9,236
237,Reginald,Dartan,Male,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,7,237
238,Max,Bilborough,Male,1984-02-04,Programmer III,,Mass Customer,N,Yes,9,238
239,Wells,Pressman,Male,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,8,239
240,Gavin,Fawks,Male,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,6,240
241,Quillan,Duigan,Male,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,1,241
242,Taite,Droghan,Male,1992-03-20,Nurse,Property,Affluent Customer,N,No,5,242
243,Barbara,Croxley,Female,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,4,243
244,Germayne,Sperry,Male,1974-11-25,,Retail,Affluent Customer,N,No,10,244
245,Noell,Grahlmans,Female,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,11,245
246,Binny,Whight,Female,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,10,246
247,Kristal,Joysey,Female,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,8,247
248,Inger,Eskell,Female,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,7,248
249,D'arcy,Slay,Male,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,7,249
250,Kristofer,,Male,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,1,250
251,Mala,,Female,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,2,251
252,Anthea,Ruskin,Female,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,7,252
253,Amalee,Choak,Female,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,5,253
254,Barbie,Rubi,Female,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,6,254
255,Keeley,Kruger,Female,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,6,255
256,Linell,Beadle,Female,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,2,256
257,Marissa,,Female,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1,257
258,Othella,Keher,Female,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,10,258
259,Venita,Dymick,Female,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,9,259
260,Farand,Marriner,Female,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,10,260
261,Marve,Pryn,Male,1977-10-15,Structural Engineer,,Mass Customer,N,No,9,261
262,Cordie,Petrelli,Male,1977-12-23,,Health,High Net Worth,N,Yes,10,262
263,Tonia,Leigh,Female,1985-11-19,Dental Hygienist,Health,High Net Worth,N,No,10,263
264,Jedd,Spiby,Male,1977-12-07,Technical Writer,Health,Mass Customer,N,No,9,264
265,Pennie,Stoile,Male,1965-10-05,Sales Representative,Retail,High Net Worth,N,Yes,7,265
266,Lelia,Garatty,Female,1989-07-19,Account Executive,Retail,Affluent Customer,N,No,10,266
267,Edgar,Buckler,U,,,IT,High Net Worth,N,No,2,267
268,Kacie,Kidston,Female,1978-10-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,12,268
269,Zacherie,Grindley,Male,1954-09-19,Nurse Practicioner,Property,Mass Customer,N,Yes,9,269
270,Auberta,Roundtree,Female,1970-12-10,Budget/Accounting Analyst III,,Mass Customer,N,Yes,8,270
271,Doll,Burtwell,Female,1991-02-13,Financial Advisor,Financial Services,Mass Customer,N,No,4,271
272,Arlie,Crean,Female,1987-06-06,Product Engineer,Retail,Mass Customer,N,Yes,8,272
273,Nevile,Abraham,Male,1963-04-22,Computer Systems Analyst IV,,Mass Customer,N,No,8,273
274,Tessi,Hesse,Female,1976-09-15,Social Worker,Health,Mass Customer,N,Yes,12,274
275,Dud,,Male,1955-07-27,VP Sales,Health,High Net Worth,N,No,11,275
276,Goldi,Dwine,Female,1990-03-25,,Financial Services,Mass Customer,N,No,8,276
277,Jehanna,Alvarado,Female,1956-02-19,VP Product Management,,High Net Worth,N,No,6,277
278,Sydney,Georger,Male,1997-07-30,Executive Secretary,,Affluent Customer,N,Yes,5,278
